object,warning,scene,interacted,participant,order
Frame,red,normal,FALSE,9,47
InteractablePen,Blur,open,TRUE,9,48
LightSwitch,red,garage,FALSE,9,49
PlantSelector,popup,open,TRUE,9,50
Frame,scaleDown,garage,TRUE,9,51
PlantSelector,no_warning,party,TRUE,9,52
LightSwitch,popup,normal,TRUE,9,53
Frame,Blur,party,TRUE,9,54
InteractablePen,red,normal,FALSE,9,55
PlantSelector,Blur,garage,TRUE,9,56
Frame,popup,open,TRUE,9,57
InteractablePen,no_warning,garage,TRUE,9,58
LightSwitch,Blur,open,TRUE,9,59
InteractablePen,no_warning,party,TRUE,9,60
PlantSelector,popup,normal,TRUE,9,61
LightSwitch,no_warning,party,TRUE,9,62
Frame,Blur,normal,TRUE,9,63
InteractablePen,popup,open,TRUE,9,64
LightSwitch,popup,garage,TRUE,9,65
PlantSelector,Blur,open,TRUE,9,66
Frame,red,garage,FALSE,9,67
PlantSelector,red,party,FALSE,9,68
LightSwitch,red,normal,FALSE,9,69
Frame,scaleDown,party,TRUE,9,70
InteractablePen,Blur,normal,TRUE,9,71
PlantSelector,no_warning,garage,TRUE,9,72
Frame,red,open,FALSE,9,73
InteractablePen,Blur,garage,TRUE,9,74
LightSwitch,popup,open,TRUE,9,75
InteractablePen,popup,party,TRUE,9,76
PlantSelector,red,normal,FALSE,9,77
LightSwitch,Blur,party,TRUE,9,78
Frame,scaleDown,normal,TRUE,9,79
InteractablePen,red,open,FALSE,9,80
PlantSelector,red,open,TRUE,10,1
Frame,popup,garage,TRUE,10,2
PlantSelector,scaleDown,party,TRUE,10,3
LightSwitch,no_warning,normal,TRUE,10,4
Frame,popup,party,TRUE,10,5
InteractablePen,no_warning,normal,TRUE,10,6
PlantSelector,scaleDown,garage,TRUE,10,7
Frame,scaleDown,open,TRUE,10,8
InteractablePen,scaleDown,garage,TRUE,10,9
LightSwitch,red,open,TRUE,10,10
InteractablePen,red,party,TRUE,10,11
PlantSelector,scaleDown,normal,TRUE,10,12
LightSwitch,popup,party,TRUE,10,13
Frame,red,normal,TRUE,10,14
InteractablePen,Blur,open,TRUE,10,15
LightSwitch,red,garage,TRUE,10,16
PlantSelector,popup,open,TRUE,10,17
Frame,scaleDown,garage,TRUE,10,18
PlantSelector,no_warning,party,TRUE,10,19
LightSwitch,popup,normal,TRUE,10,20
Frame,Blur,party,TRUE,10,21
InteractablePen,red,normal,FALSE,10,22
PlantSelector,Blur,garage,TRUE,10,23
Frame,popup,open,TRUE,10,24
InteractablePen,no_warning,garage,TRUE,10,25
LightSwitch,Blur,open,TRUE,10,26
InteractablePen,no_warning,party,TRUE,10,27
PlantSelector,popup,normal,TRUE,10,28
LightSwitch,no_warning,party,TRUE,10,29
Frame,Blur,normal,TRUE,10,30
InteractablePen,popup,open,TRUE,10,31
LightSwitch,popup,garage,TRUE,10,32
PlantSelector,Blur,open,TRUE,10,33
Frame,red,garage,TRUE,10,34
PlantSelector,red,party,TRUE,10,35
LightSwitch,red,normal,TRUE,10,36
Frame,scaleDown,party,TRUE,10,37
InteractablePen,Blur,normal,TRUE,10,38
PlantSelector,no_warning,garage,TRUE,10,39
Frame,red,open,TRUE,10,40
InteractablePen,Blur,garage,TRUE,10,41
LightSwitch,popup,open,TRUE,10,42
InteractablePen,popup,party,TRUE,10,43
PlantSelector,red,normal,TRUE,10,44
LightSwitch,Blur,party,TRUE,10,45
Frame,scaleDown,normal,TRUE,10,46
InteractablePen,red,open,TRUE,10,47
LightSwitch,no_warning,garage,TRUE,10,48
PlantSelector,scaleDown,open,TRUE,10,49
Frame,Blur,garage,TRUE,10,50
PlantSelector,Blur,party,TRUE,10,51
LightSwitch,Blur,normal,TRUE,10,52
Frame,red,party,TRUE,10,53
InteractablePen,scaleDown,normal,TRUE,10,54
PlantSelector,popup,garage,TRUE,10,55
Frame,no_warning,open,TRUE,10,56
InteractablePen,red,garage,TRUE,10,57
LightSwitch,scaleDown,open,TRUE,10,58
InteractablePen,scaleDown,party,TRUE,10,59
PlantSelector,no_warning,normal,TRUE,10,60
LightSwitch,red,party,TRUE,10,61
Frame,popup,normal,TRUE,10,62
InteractablePen,scaleDown,open,TRUE,10,63
LightSwitch,Blur,garage,TRUE,10,64
PlantSelector,no_warning,open,TRUE,10,65
Frame,no_warning,garage,TRUE,10,66
PlantSelector,popup,party,TRUE,10,67
LightSwitch,scaleDown,normal,TRUE,10,68
Frame,no_warning,party,TRUE,10,69
InteractablePen,popup,normal,TRUE,10,70
PlantSelector,red,garage,TRUE,10,71
Frame,Blur,open,TRUE,10,72
InteractablePen,popup,garage,TRUE,10,73
LightSwitch,no_warning,open,TRUE,10,74
InteractablePen,Blur,party,TRUE,10,75
PlantSelector,Blur,normal,TRUE,10,76
LightSwitch,scaleDown,party,TRUE,10,77
Frame,no_warning,normal,TRUE,10,78
InteractablePen,no_warning,open,TRUE,10,79
LightSwitch,scaleDown,garage,TRUE,10,80
Frame,scaleDown,normal,TRUE,11,1
InteractablePen,red,open,TRUE,11,2
LightSwitch,no_warning,garage,TRUE,11,3
PlantSelector,scaleDown,open,TRUE,11,4
Frame,Blur,garage,TRUE,11,5
PlantSelector,Blur,party,TRUE,11,6
LightSwitch,Blur,normal,TRUE,11,7
Frame,red,party,FALSE,11,8
InteractablePen,scaleDown,normal,TRUE,11,9
PlantSelector,popup,garage,TRUE,11,10
Frame,no_warning,open,TRUE,11,11
InteractablePen,red,garage,TRUE,11,12
LightSwitch,scaleDown,open,TRUE,11,13
InteractablePen,scaleDown,party,TRUE,11,14
