code;object;action;start_time;end_time;duration;object_group;warning; ; 
1677089207_319460;framepin;entering_pin_time;143,6313;149,284;5,6527;frame;Blur;;
1677089207_319460;clipboard;select;151,0951;153,7677;2,6726;;no_warning;;
1677089207_319460;clipboard;select;154,1159;154,1993;0,0834;;no_warning;;
1677089207_319460;stickynote;hover;155,8692;156,1201;0,2509;;no_warning;;
1677089207_319460;stickynote;select;156,1201;156,3707;0,2506;;no_warning;;
1677089207_319460;stickynote;hover;158,4729;158,7656;0,2927;;no_warning;;
1677089207_319460;stickynote;select;158,7656;160,4644;1,6988;;no_warning;;
1677089207_319460;stickynote;hover;159,0994;160,631;1,5316;;no_warning;;
1677089207_319460;stickynote;hover;160,7844;161,0488;0,2644;;no_warning;;
1677089207_319460;stickynote;select;161,0488;164,0003;2,9515;;no_warning;;
1677089207_319460;interactablepen;select;167,7862;169,7912;2,005;pen;no_warning;;
1677089207_319460;easel;hover;170,6407;170,6682;0,0275;;no_warning;;
1677089207_319460;lightswitch;hover;170,6682;170,7518;0,0836;light;Blur;;
1677089207_319460;easel;hover;170,7518;170,7802;0,0284;;no_warning;;
1677089207_319460;lightswitch;hover;170,7802;170,8075;0,0273;light;Blur;;
1677089207_319460;lightswitch;hover;171,086;171,2533;0,1673;light;Blur;;
1677089207_319460;easel;hover;171,2533;171,9356;0,6823;;no_warning;;
1677089207_319460;easel;hover;172,0887;172,4366;0,3479;;no_warning;;
1677089207_319460;lightswitch;hover;172,4366;172,7293;0,2927;light;Blur;;
1677089207_319460;easel;hover;172,7293;172,7709;0,0416;;no_warning;;
1677089207_319460;lightswitch;hover;172,7709;172,7986;0,0277;light;Blur;;
1677089207_319460;easel;hover;172,7986;172,9655;0,1669;;no_warning;;
1677089207_319460;easel;select;172,9655;172,981;0,0155;;no_warning;;
1677089207_319460;lightswitch;hover;173,3968;173,4246;0,0278;light;Blur;;
1677089207_319460;easel;hover;173,4246;173,5223;0,0977;;no_warning;;
1677089207_319460;lightswitch;hover;173,5223;173,7594;0,2371;light;Blur;;
